Nome;Partido;Estado;Codigo;CD01O022O008720;CD01O022O008722;CD01O031O008729;CD01O031O008730;CD01O032E008733;CD01O035O008734;CD01O035O008735;CD01O035O008736;CD01O035O008738;CD01O035O008739;CD01O035O008740;CD01O036E008741;CD01O036E008742;CD01O036E008743;CD01O043O008748;CD01O043O008749;CD01O043O008751;CD01O043O008752;CD01O044E008756;CD01O044E008758;CD01O044E008759;CD01O044E008760;CD01O044E008761;CD01O044E008762;Lado;tsne-1d-one;tsne-2d-two
JOSÉ GUIMARÃES;PT;Ceará;103;Não;Não;Não Votou;Obstrução;Obstrução;Obstrução;Não Votou;Obstrução;Obstrução;Obstrução;Sim;Obstrução;Sim;Obstrução;Obstrução;Sim;Sim;Não;Não;Sim;Não;Não;Sim;Sim;OPOSIÇÃO;-10.365502;-23.699844
PEDRO AUGUSTO BEZERRA;PTB;Ceará;104;Não;Sim;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;-6.908999;4.8251767
ROBÉRIO MONTEIRO;PDT;Ceará;105;Não;Não;Não;Não;Não;Não Votou;Não;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;MINORIA;-9.2207575;8.604417
MOSES RODRIGUES;MDB;Ceará;106;Não Votou;Sim;Não;Não;Sim;Não Votou;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;4.8086615;14.291942
ROBERTO PESSOA;PSDB;Ceará;107;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não Votou;Não Votou;Sim;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;-19.10397;-8.052643
VAIDON OLIVEIRA;PROS;Ceará;108;Não;Não;Não;Sim;Sim;Não;Não Votou;Não;Não;Sim;Sim;Não;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;MINORIA;-0.095837764;4.1800804
ÁTILA LIRA;PSB;Piauí;109;Não Votou;Não Votou;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;OPOSIÇÃO;7.7925987;1.4335171
FLÁVIO NOGUEIRA;PDT;Piauí;110;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Sim;Sim;MINORIA;-14.365479;2.6742268
ASSIS CARVALHO;PT;Piauí;111;Não;Não;Obstrução;Obstrução;Obstrução;Não Votou;Não Votou;Obstrução;Obstrução;Obstrução;Sim;Obstrução;Sim;Não Votou;Obstrução;Não;Sim;Não;Não;Sim;Não;Não;Não Votou;Sim;OPOSIÇÃO;-11.517878;-23.49398
CAPITÃO FÁBIO ABREU;PR;Piauí;112;Não;Sim;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;2.579025;13.683147
IRACEMA PORTELLA;PP;Piauí;113;Não Votou;Sim;Não;Não Votou;Não Votou;Não;Não Votou;Não Votou;Não;Sim;Sim;Não;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;3.8279848;17.222183
JÚLIO CESAR;PSD;Piauí;114;Não Votou;Sim;Não Votou;Não Votou;Sim;Não;Não Votou;Não;Não;Sim;Abstenção;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;13.532285;4.6903787
MARCOS AURÉLIO SAMPAIO;MDB;Piauí;115;Não;Sim;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Não Votou;Não Votou;Não Votou;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;5.458864;10.373406
REJANE DIAS;PT;Piauí;116;Não;Não Votou;Obstrução;Não Votou;Obstrução;Obstrução;Não Votou;Não Votou;Obstrução;Obstrução;Sim;Sim;Sim;Obstrução;Obstrução;Sim;Sim;Não;Não;Sim;Não;Não Votou;Sim;Sim;OPOSIÇÃO;-13.102411;-27.38627
MARGARETE COELHO;PP;Piauí;117;Não;Sim;Não;Não;Sim;Não Votou;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;3.7337842;13.298569
MARINA SANTOS;Solidariedade;Piauí;118;Não;Sim;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não Votou;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;MINORIA;8.176498;3.8021276
FÁBIO FARIA;PSD;Rio Grande do Norte;119;Não Votou;Sim;Não;Não;Não Votou;Não;Não Votou;Art.;Art.;Art.;Não Votou;Não Votou;Não Votou;Não;Sim;Não Votou;Não;Não;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;-22.25008;-5.857845
BENES LEOCÁDIO;PRB;Rio Grande do Norte;120;Não;Sim;Não;Não;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;17.38377;12.4168825
BETO ROSADO;PP;Rio Grande do Norte;121;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;GOVERNO;-16.20037;-9.006628
GENERAL GIRÃO;PSL;Rio Grande do Norte;122;Sim;Sim;Não;Não;Sim;Não;Não Votou;Não;Não;Sim;Não Votou;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;19.043077;5.614128
RAFAEL MOTTA;PSB;Rio Grande do Norte;123;Não;Não;Não;Não;Sim;Não Votou;Não Votou;Não Votou;Não;Sim;Sim;Não;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Não Votou;Não;Não Votou;Sim;OPOSIÇÃO;-16.555689;-1.1648806
JOÃO MAIA;PR;Rio Grande do Norte;124;Não;Sim;Não;Não;Sim;Não;Não Votou;Não Votou;Não;Sim;Sim;Não;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não Votou;Não;Sim;Sim;GOVERNO;3.3543928;12.017509
WALTER ALVES;MDB;Rio Grande do Norte;125;Não;Sim;Não;Não;Sim;Não Votou;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;7.0128226;2.8636165
NATÁLIA BONAVIDES;PT;Rio Grande do Norte;126;Não;Não;Obstrução;Obstrução;Obstrução;Não Votou;Sim;Obstrução;Obstrução;Obstrução;Sim;Sim;Não Votou;Obstrução;Obstrução;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Sim;OPOSIÇÃO;-13.335748;-23.51477
DAMIÃO FELICIANO;PDT;Paraíba;127;Não;Não Votou;Não;Não;Sim;Não;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Sim;Não;Não;Sim;Sim;MINORIA;-8.793389;3.8585763
EFRAIM FILHO;DEM;Paraíba;128;Não Votou;Sim;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não;Não;Não;Sim;Não Votou;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;5.269046;-6.704929
AGUINALDO RIBEIRO;PP;Paraíba;129;Não Votou;Não Votou;Não;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Sim;Sim;Sim;Não;Não Votou;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não;Sim;Sim;GOVERNO;-9.695683;-4.5604677
EDNA HENRIQUE;PSDB;Paraíba;130;Não;Sim;Não Votou;Sim;Sim;Não;Não;Não;Não;Sim;Sim;Não;Sim;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;-20.126244;-2.9053988
FREI ANASTACIO RIBEIRO;PT;Paraíba;131;Não;Não;Abstenção;Obstrução;Obstrução;Obstrução;Sim;Obstrução;Obstrução;Obstrução;Sim;Obstrução;Sim;Não Votou;Obstrução;Sim;Sim;Não;Não;Sim;Não;Não;Não Votou;Sim;OPOSIÇÃO;-10.373767;-22.95066
HUGO MOTTA;PRB;Paraíba;132;Não;Sim;Não;Não;Sim;Não Votou;Não Votou;Não;Não;Sim;Sim;Não;Não;Não Votou;Não Votou;Sim;Sim;Não;Sim;Sim;Não Votou;Não;Sim;Sim;GOVERNO;2.8442008;11.227427
GERVÁSIO MAIA;PSB;Paraíba;133;Não;Não;Sim;Sim;Sim;Não;Não;Não;Não;Não;Sim;Não;Sim;Sim;Sim;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Sim;OPOSIÇÃO;-16.968113;3.7191067
JULIAN LEMOS;PSL;Paraíba;134;Sim;Sim;Não;Não;Sim;Não Votou;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;Não Votou;Não;Sim;Sim;GOVERNO;23.759247;9.461445
PEDRO CUNHA LIMA;PSDB;Paraíba;135;Sim;Sim;Não;Não;Sim;Não;Não Votou;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Não;GOVERNO;19.99379;6.0883555
WELLINGTON ROBERTO;PR;Paraíba;136;Não Votou;Não;Sim;Sim;Não Votou;Não Votou;Não Votou;Não;Não;Sim;Sim;Não;Não;Não;Sim;Não Votou;Não Votou;Não Votou;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;0.5868016;-2.2707567
RUY CARNEIRO;PSDB;Paraíba;137;Não;Sim;Sim;Sim;Sim;Não Votou;Não Votou;Não;Não;Sim;Sim;Não;Sim;Não;Sim;Sim;Não Votou;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;1.4387375;-0.95618474
WILSON SANTIAGO;PTB;Paraíba;138;Não Votou;Não Votou;Não;Não;Sim;Não;Não;Não Votou;Não;Sim;Sim;Não;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Não Votou;Sim;GOVERNO;3.2714174;15.942746
