Nome;Partido;Estado;Codigo;CD01O022O008720;CD01O022O008722;CD01O031O008729;CD01O031O008730;CD01O032E008733;CD01O035O008734;CD01O035O008735;CD01O035O008736;CD01O035O008738;CD01O035O008739;CD01O035O008740;CD01O036E008741;CD01O036E008742;CD01O036E008743;CD01O043O008748;CD01O043O008749;CD01O043O008751;CD01O043O008752;CD01O044E008756;CD01O044E008758;CD01O044E008759;CD01O044E008760;CD01O044E008761;CD01O044E008762;Lado;tsne-1d-one;tsne-2d-two
JOSÉ ROCHA;PR;Bahia;203;Não;Não Votou;Obstrução;Obstrução;Obstrução;Obstrução;Não Votou;Não Votou;Obstrução;Obstrução;Sim;Não Votou;Não Votou;Não Votou;Obstrução;Sim;Sim;Não;Não;Sim;Não;Não;Não Votou;Sim;GOVERNO;-12.12817;-25.621336
JORGE SOLLA;PT;Bahia;204;Não;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não Votou;Não;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Sim;Sim;OPOSIÇÃO;-23.017075;-15.692501
MARCELO NILO;PSB;Bahia;205;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;OPOSIÇÃO;-0.57099277;5.2117376
OTTO ALENCAR FILHO;PSD;Bahia;206;Não;Sim;Não;Não Votou;Não;Não;Não Votou;Não Votou;Sim;Não;Sim;Sim;Não Votou;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Não Votou;Sim;GOVERNO;-24.294891;-20.04909
PASTOR SARGENTO ISIDÓRIO;Avate;Bahia;207;Não Votou;Não Votou;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;MINORIA;7.792393;1.4321849
MÁRIO NEGROMONTE JR.;PP;Bahia;208;Não Votou;Sim;Obstrução;Obstrução;Obstrução;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Sim;Não;Não;Sim;Não;Não;Sim;Sim;GOVERNO;-13.283979;-17.924364
NELSON PELLEGRINO;PT;Bahia;209;Não;Não Votou;Não;Não;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;OPOSIÇÃO;17.909685;13.71949
PROFESSORA DAYANE PIMENTEL;PSL;Bahia;210;Não Votou;Sim;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;9.123754;1.6039784
RAIMUNDO COSTA;PR;Bahia;211;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Sim;Não;Sim;Não Votou;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;10.405761;23.855278
MÁRCIO MARINHO;PRB;Bahia;212;Não;Não Votou;Não;Não Votou;Sim;Não;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;Sim;Não Votou;Sim;Não;Sim;Sim;Não;Sim;Sim;GOVERNO;-11.043047;4.2480683
SÉRGIO BRITO;PSD;Bahia;213;Não Votou;Não Votou;Não;Não;Sim;Não;Não Votou;Não Votou;Não;Sim;Sim;Não Votou;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Não Votou;Sim;GOVERNO;9.287206;-1.1593453
TITO;Avate;Bahia;214;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Sim;Não;Não;Não Votou;Sim;MINORIA;-12.025348;-9.910518
PAULO AZI;DEM;Bahia;215;Não;Não Votou;Não Votou;Obstrução;Obstrução;Obstrução;Não Votou;Obstrução;Obstrução;Obstrução;Sim;Obstrução;Sim;Obstrução;Não Votou;Sim;Não Votou;Não;Não;Sim;Não Votou;Não;Não Votou;Sim;GOVERNO;-9.467034;-23.636192
RONALDO CARLETTO;PP;Bahia;216;Não Votou;Sim;Obstrução;Obstrução;Obstrução;Obstrução;Não Votou;Obstrução;Obstrução;Obstrução;Sim;Sim;Sim;Obstrução;Obstrução;Sim;Sim;Obstrução;Não;Sim;Não;Não;Sim;Sim;GOVERNO;-14.523475;-26.924932
ZÉ NETO;PT;Bahia;217;Não Votou;Não;Obstrução;Obstrução;Obstrução;Não Votou;Não Votou;Obstrução;Obstrução;Obstrução;Sim;Sim;Sim;Obstrução;Obstrução;Não Votou;Sim;Obstrução;Não;Sim;Não;Não;Sim;Sim;OPOSIÇÃO;-13.954912;-24.724245
VALMIR ASSUNÇÃO;PT;Bahia;218;Não;Não;Sim;Não;Sim;Não Votou;Não;Não;Não;Não;Sim;Não;Sim;Sim;Não Votou;Não Votou;Não Votou;Não;Não;Sim;Não;Não;Sim;Sim;OPOSIÇÃO;-16.189163;3.1287813
WALDENOR PEREIRA;PT;Bahia;219;Não;Não Votou;Sim;Não;Sim;Não;Não;Não Votou;Não;Não Votou;Não Votou;Não;Não;Não;Sim;Não Votou;Não Votou;Não;Sim;Sim;Não;Não;Não Votou;Sim;OPOSIÇÃO;4.363623;6.524207
ULDURICO JUNIOR;PPL;Bahia;220;Não Votou;Sim;Não;Não;Sim;Não;Não;Não;Não;Sim;Não;Não Votou;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;OPOSIÇÃO;19.948545;10.167714
AÉCIO NEVES;PSDB;Minas Gerais;221;Não Votou;Não Votou;Não;Não;Não;Não;Não Votou;Não;Não Votou;Não Votou;Sim;Não;Não Votou;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;2.5811484;-7.333475
ALÊ SILVA;PSL;Minas Gerais;222;Sim;Sim;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Não Votou;Obstrução;Obstrução;Sim;Obstrução;Sim;Sim;Obstrução;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;GOVERNO;-18.149923;-24.056921
